territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,district_code,district_name,region
LOCAL-110500,110500,110500,Cascais,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110600,110600,110600,Lisboa,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110700,110700,110700,Loures,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110800,110800,110800,Lourinhã,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110900,110900,110900,Mafra,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111600,111600,111600,Odivelas,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111000,111000,111000,Oeiras,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111100,111100,111100,Sintra,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111200,111200,111200,Sobral de Monte Agraço,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111300,111300,111300,Torres Vedras,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111400,111400,111400,Vila Franca de Xira,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-310100,310100,310100,Calheta,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310200,310200,310200,Câmara de Lobos,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310300,310300,310300,Funchal,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310400,310400,310400,Machico,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310500,310500,310500,Ponta do Sol,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310600,310600,310600,Porto Moniz,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-320100,320100,320100,Porto Santo,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310700,310700,310700,Ribeira Brava,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310800,310800,310800,Santa Cruz,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-310900,310900,310900,Santana,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-311000,311000,311000,São Vicente,concelho,6,LOCAL-300000,300000,Madeira,LOCAL-300000,Madeira,Região Autónoma da Madeira
LOCAL-120100,120100,120100,Alter do Chão,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120200,120200,120200,Arronches,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120300,120300,120300,Avis,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120400,120400,120400,Campo Maior,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120500,120500,120500,Castelo de Vide,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120600,120600,120600,Crato,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120700,120700,120700,Elvas,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120800,120800,120800,Fronteira,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-120900,120900,120900,Gavião,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121000,121000,121000,Marvão,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121100,121100,121100,Monforte,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121200,121200,121200,Nisa,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121300,121300,121300,Ponte de Sor,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121400,121400,121400,Portalegre,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-121500,121500,121500,Sousel,concelho,6,LOCAL-120000,120000,Portalegre,LOCAL-120000,Portalegre,Alentejo
LOCAL-130100,130100,130100,Amarante,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130200,130200,130200,Baião,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130300,130300,130300,Felgueiras,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130400,130400,130400,Gondomar,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130500,130500,130500,Lousada,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130600,130600,130600,Maia,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130700,130700,130700,Marco de Canaveses,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130800,130800,130800,Matosinhos,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131000,131000,131000,Paredes,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-130900,130900,130900,Paços de Ferreira,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131100,131100,131100,Penafiel,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131200,131200,131200,Porto,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131300,131300,131300,Póvoa de Varzim,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131400,131400,131400,Santo Tirso,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131800,131800,131800,Trofa,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131500,131500,131500,Valongo,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131700,131700,131700,Vila Nova de Gaia,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-131600,131600,131600,Vila do Conde,concelho,6,LOCAL-130000,130000,Porto,LOCAL-130000,Porto,Norte
LOCAL-140100,140100,140100,Abrantes,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140200,140200,140200,Alcanena,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140300,140300,140300,Almeirim,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140400,140400,140400,Alpiarça,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140500,140500,140500,Benavente,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140600,140600,140600,Cartaxo,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140700,140700,140700,Chamusca,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140800,140800,140800,Constância,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-140900,140900,140900,Coruche,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141000,141000,141000,Entroncamento,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141100,141100,141100,Ferreira do Zêzere,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141200,141200,141200,Golegã,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141300,141300,141300,Mação,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-142100,142100,142100,Ourém,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141400,141400,141400,Rio Maior,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141500,141500,141500,Salvaterra de Magos,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141600,141600,141600,Santarém,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141700,141700,141700,Sardoal,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141800,141800,141800,Tomar,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-141900,141900,141900,Torres Novas,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-142000,142000,142000,Vila Nova da Barquinha,concelho,6,LOCAL-140000,140000,Santarém,LOCAL-140000,Santarém,Área Metropolitana de Lisboa
LOCAL-150200,150200,150200,Alcochete,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150100,150100,150100,Alcácer do Sal,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150300,150300,150300,Almada,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150400,150400,150400,Barreiro,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150500,150500,150500,Grândola,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150600,150600,150600,Moita,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150700,150700,150700,Montijo,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150800,150800,150800,Palmela,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-150900,150900,150900,Santiago do Cacém,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-151000,151000,151000,Seixal,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-151100,151100,151100,Sesimbra,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-151200,151200,151200,Setúbal,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-151300,151300,151300,Sines,concelho,6,LOCAL-150000,150000,Setúbal,LOCAL-150000,Setúbal,Área Metropolitana de Lisboa
LOCAL-160100,160100,160100,Arcos de Valdevez,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160200,160200,160200,Caminha,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160300,160300,160300,Melgaço,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160400,160400,160400,Monção,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160500,160500,160500,Paredes de Coura,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160600,160600,160600,Ponte da Barca,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160700,160700,160700,Ponte de Lima,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160800,160800,160800,Valença,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-160900,160900,160900,Viana do Castelo,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-161000,161000,161000,Vila Nova de Cerveira,concelho,6,LOCAL-160000,160000,Viana do Castelo,LOCAL-160000,Viana do Castelo,Norte
LOCAL-170100,170100,170100,Alijó,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170200,170200,170200,Boticas,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170300,170300,170300,Chaves,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170400,170400,170400,Mesão Frio,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170500,170500,170500,Mondim de Basto,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170600,170600,170600,Montalegre,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170700,170700,170700,Murça,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170800,170800,170800,Peso da Régua,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-170900,170900,170900,Ribeira de Pena,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-171000,171000,171000,Sabrosa,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-171100,171100,171100,Santa Marta de Penaguião,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-171200,171200,171200,Valpaços,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-171300,171300,171300,Vila Pouca de Aguiar,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-171400,171400,171400,Vila Real,concelho,6,LOCAL-170000,170000,Vila Real,LOCAL-170000,Vila Real,Norte
LOCAL-180100,180100,180100,Armamar,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180200,180200,180200,Carregal do Sal,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180300,180300,180300,Castro Daire,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180400,180400,180400,Cinfães,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180500,180500,180500,Lamego,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180600,180600,180600,Mangualde,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180700,180700,180700,Moimenta da Beira,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180800,180800,180800,Mortágua,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-180900,180900,180900,Nelas,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181000,181000,181000,Oliveira de Frades,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181100,181100,181100,Penalva do Castelo,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181200,181200,181200,Penedono,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181300,181300,181300,Resende,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181400,181400,181400,Santa Comba Dão,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181800,181800,181800,Sernancelhe,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181700,181700,181700,Sátão,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181500,181500,181500,São João da Pesqueira,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181600,181600,181600,São Pedro do Sul,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-181900,181900,181900,Tabuaço,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-182000,182000,182000,Tarouca,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-182100,182100,182100,Tondela,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-182200,182200,182200,Vila Nova de Paiva,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-182300,182300,182300,Viseu,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-182400,182400,182400,Vouzela,concelho,6,LOCAL-180000,180000,Viseu,LOCAL-180000,Viseu,Centro
LOCAL-070100,070100,70100,Alandroal,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070200,070200,70200,Arraiolos,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070300,070300,70300,Borba,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070400,070400,70400,Estremoz,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070600,070600,70600,Montemor-o-Novo,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070700,070700,70700,Mora,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070800,070800,70800,Mourão,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070900,070900,70900,Portel,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-071000,071000,71000,Redondo,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-071100,071100,71100,Reguengos de Monsaraz,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-071200,071200,71200,Vendas Novas,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-071300,071300,71300,Viana do Alentejo,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-071400,071400,71400,Vila Viçosa,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
LOCAL-070500,070500,70500,Évora,concelho,6,LOCAL-070000,070000,Évora,LOCAL-070000,Évora,Alentejo
